Week,Crop_type,mean_uncertainty,std_uncertainty,count
32,Sunflower,0.13850725,0.025495017,4
32,Wheat,0.1170063,0.008188915,6
33,Lucern,0.18631911,0.18489614,12
33,Maize,0.31890145,0.18073335,218
33,Soy,0.24644084,0.09650734,41
33,Sunflower,0.1757077,0.028243225,2
33,Wheat,0.11672654,0.0116892895,6
34,Lucern,0.23801929,0.11511384,4
34,Maize,0.3928616,0.14679308,114
34,Soy,0.2864699,0.09869628,15
34,Sunflower,0.18560176,,1
34,Wheat,0.12865588,0.0059151277,6
35,Lucern,0.19030708,0.07565783,12
35,Maize,0.3308865,0.17668833,150
35,Soy,0.23715286,0.101130925,15
35,Wheat,0.11723242,0.014332775,6
36,Lucern,0.172022,0.07445114,11
36,Maize,0.39128643,0.17771442,143
36,Soy,0.27668643,0.046499662,23
36,Sunflower,0.15394036,0.018507713,2
36,Wheat,0.15882376,0.015013058,6
37,Lucern,0.24022472,0.103669025,4
37,Maize,0.4096797,0.14840905,76
37,Soy,0.2883518,0.12399233,6
37,Sunflower,0.17229435,,1
37,Wheat,0.083999015,0.007912388,6
38,Lucern,0.13530636,0.052820724,12
38,Maize,0.34708434,0.14998211,98
38,Soy,0.25020027,0.075905904,17
38,Wheat,0.10829119,0.015176385,6
39,Lucern,0.25556657,0.23401983,12
39,Maize,0.37591836,0.13644244,145
39,Soy,0.2869469,0.08123823,21
39,Wheat,0.16031192,0.021016179,6
40,Lucern,0.14935178,0.05423062,11
40,Maize,0.42543566,0.16815172,66
40,Soy,0.2496695,0.08161025,23
40,Wheat,0.13802296,0.0050355056,6
41,Lucern,0.21876723,0.011987792,3
41,Maize,0.42977095,0.14165695,66
41,Soy,0.29999325,0.07993923,13
41,Wheat,0.0964246,0.013078537,6
42,Lucern,0.21093595,0.14944847,12
42,Maize,0.43347448,0.17514855,110
42,Soy,0.2864486,0.08550358,23
42,Wheat,0.09996745,0.020187045,6
43,Lucern,0.24548738,0.16641861,12
43,Maize,0.35414088,0.14200203,36
43,Soy,0.29827595,0.052696005,6
43,Wheat,0.172217,0.015765661,6
44,Lucern,0.25025362,,1
44,Maize,0.29255798,0.14258152,2
44,Sunflower,0.22861437,0.048242424,8
44,Wheat,0.13804726,0.013582148,6
45,Lucern,1.0383157,,1
45,Maize,0.36887947,0.1671935,36
45,Soy,0.2735393,0.060285404,10
45,Wheat,0.100450166,0.0027862897,6
46,Lucern,0.15129867,0.07857173,12
46,Maize,0.38115215,0.17459399,78
46,Soy,0.2664953,0.07764151,17
46,Sunflower,0.18816656,0.0417451,9
46,Wheat,0.091005206,0.0038580522,6
47,Lucern,0.24067427,0.22733663,11
47,Maize,0.41579205,0.17202185,127
47,Soy,0.2169856,0.082488045,27
47,Sunflower,0.18377557,0.06601682,16
47,Wheat,0.1265438,0.032216087,6
48,Lucern,0.16105452,0.09308108,12
48,Maize,0.39310327,0.18177837,87
48,Soy,0.2097155,0.14233011,28
48,Sunflower,0.1720718,0.07467778,9
48,Wheat,0.10700339,0.0019778358,2
49,Lucern,0.20987909,0.29831508,10
49,Maize,0.31690735,0.24490772,11
49,Soy,0.107782476,0.02111284,7
49,Sunflower,0.13254654,0.051491495,19
50,Lucern,0.88543963,,1
50,Maize,0.28415936,0.13641244,116
50,Soy,0.087038636,0.07887636,161
50,Sunflower,0.13107805,0.0549946,6
50,Wheat,0.077780634,0.0024347296,6
51,Lucern,0.18246295,0.13373092,12
51,Maize,0.2674056,0.13856371,214
51,Soy,0.12120751,0.019600753,21
51,Sunflower,0.18143189,0.051983926,17
51,Wheat,0.10098153,0.012432244,6
52,Lucern,0.32800856,0.15958025,4
52,Maize,0.37931088,0.23568854,149
52,Soy,0.09743402,0.08133172,222
52,Sunflower,0.14479683,0.091611065,6
52,Wheat,0.09723476,0.017801285,6
